url,price,rooms,area,postal_code,locality,property_type,sub_property_type,facades,building_state,furnished,open_fire,kitchen_type,terrace,terrace_surface,garden,garden_surface,swimming_pool,land_surface
https://www.immoweb.be/fr/annonce/appartement/a-vendre/geraardsbergen/9500/20829232,199000,1,82,9500,Geraardsbergen,Apartment,Appartement,2,Fraîchement rénové,0,,Equipée,,,,,,82
https://www.immoweb.be/fr/annonce/appartement/a-vendre/anderlecht/1070/20829231,275000,2,96,1070,Anderlecht,Apartment,Appartement,,Bon,0,,Equipée,,6,,,0,96
https://www.immoweb.be/fr/annonce/maison/a-vendre/bornem/2880/20829229,570000,3,174,2880,Bornem,House,Maison,4,Bon,,,Equipée,,25,,,1,974
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/20829227,675000,3,93,8300,Knokke-heist,Apartment,Appartement,2,Bon,1,,Equipée,,5,,,0,93
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/20829228,675000,2,83,8300,Knokke-heist,Apartment,Appartement,,Excellent état,1,,Equipée,,3,,,0,83
https://www.immoweb.be/fr/annonce/appartement/a-vendre/knokke-heist/8300/20829226,675000,2,83,8300,Knokke-heist,Apartment,Appartement,,Excellent état,1,,Equipée,,3,,,0,83
https://www.immoweb.be/fr/annonce/maison/a-vendre/houyet/5560/20829225,219000,2,155,5560,Houyet,House,Maison,3,Bon,,,Equipée,1,,,,0,1998
https://www.immoweb.be/fr/annonce/maison/a-vendre/erembodegem/9320/20829222,390000,2,155,9320,Erembodegem,House,Maison,3,Bon,,,Equipée,1,,,,,1890
https://www.immoweb.be/fr/annonce/appartement/a-vendre/dendermonde/9200/20829221,190000,1,,9200,Dendermonde,Apartment,Appartement,,Excellent état,,,Semi-équipée,1,,,,,0
https://www.immoweb.be/fr/annonce/villa/a-vendre/aiseau-presles/6250/20829215,259000,2,,6250,Aiseau-presles,House,Villa,4,Bon,0,,Equipée,,15,,,,0
https://www.immoweb.be/fr/annonce/maison/a-vendre/namur-beez/5000/20683900,245000,3,168,5000,"Namur, beez",House,Maison,2,À rafraîchir,0,,Equipée,,,1,225,,566
https://www.immoweb.be/fr/annonce/maison/a-vendre/willebroek/2830/20829213,179000,1,70,2830,Willebroek,House,Maison,2,À rafraîchir,,,Semi-équipée,1,,,,,115
https://www.immoweb.be/fr/annonce/appartement/a-vendre/namur-saint-servais/5002/20825318,291000,3,105,5002,Namur saint-servais,Apartment,Appartement,,Excellent état,0,,,,17,,,,105
https://www.immoweb.be/fr/annonce/bien-exceptionnel/a-vendre/woluwe-saint-lambert/1200/20829212,1295000,4,250,1200,Woluwe-saint-lambert,House,Bien exceptionnel,2,Excellent état,0,,Equipée,,45,,,0,350
https://www.immoweb.be/fr/annonce/appartement/a-vendre/jette/1090/20829174,285000,3,120,1090,Jette,Apartment,Appartement,,À rénover,,,Equipée,,,,,0,120
https://www.immoweb.be/fr/annonce/maison/a-vendre/antwerpen/2060/20829173,390000,,,2060,Antwerpen,House,Maison,,,,,,,,,,,0
https://www.immoweb.be/fr/annonce/maison/a-vendre/meerdonk/9170/20829172,394000,3,,9170,Meerdonk,House,Maison,,,,,,,,,,,239
https://www.immoweb.be/fr/annonce/appartement/a-vendre/molenbeek-saint-jean/1080/20620745,325000,4,150,1080,Molenbeek-saint-jean,Apartment,Appartement,3,Bon,,,,,20,,,,150
https://www.immoweb.be/fr/annonce/maison/a-vendre/avekapelle-veurne/8630/20705398,199000,2,90,8630,Avekapelle (veurne),House,Maison,3,,0,,,,,,,0,251
https://www.immoweb.be/fr/annonce/appartement/a-vendre/antwerpen-antwerpen/2000/20829170,965000,3,142,2000,Antwerpen (antwerpen),Apartment,Appartement,2,,0,,Equipée,,,,,0,142
https://www.immoweb.be/fr/annonce/maison/a-vendre/frameries/7080/20329508,80000,2,115,7080,Frameries,House,Maison,,À rénover,,,Equipée,,1,1,1,0,265
https://www.immoweb.be/fr/annonce/maison-de-maitre/a-vendre/sprimont/4140/20829168,699000,8,404,4140,Sprimont,House,Maison de maître,4,À rafraîchir,0,,Equipée,1,,,,,5404
https://www.immoweb.be/fr/annonce/maison-de-campagne/a-vendre/lessines/7862/20829164,230000,3,,7862,Lessines,House,Maison de campagne,4,À rénover,0,,Equipée,1,,,,,986
https://www.immoweb.be/fr/annonce/maison/a-vendre/ostend/8400/20829095,525000,4,224,8400,Ostend,House,Maison,1,,,1,Equipée,,,1,710,,1158
https://www.immoweb.be/fr/annonce/maison/a-vendre/antwerpen/2150/20829093,317500,2,113,2150,Antwerpen,House,Maison,,Fraîchement rénové,,,Semi-équipée,1,,,,,228
https://www.immoweb.be/fr/annonce/maison/a-vendre/wuustwezel/2990/20829092,379000,3,162,2990,Wuustwezel,House,Maison,3,À rénover,,,Equipée,,,,,,772
https://www.immoweb.be/fr/annonce/appartement/a-vendre/evere/1140/20829091,175000,2,74,1140,Evere,Apartment,Appartement,2,À rénover,,,Equipée,,,,,,74
https://www.immoweb.be/fr/annonce/duplex/a-vendre/evere/1140/20829090,215000,2,113,1140,Evere,Apartment,Duplex,2,À rénover,,,Equipée,,2,,,,113
https://www.immoweb.be/fr/annonce/maison/a-vendre/antwerpen/2018/20829089,715000,3,237,2018,Antwerpen,House,Maison,2,,,,Equipée,1,,,,,327
https://www.immoweb.be/fr/annonce/immeuble-mixte/a-vendre/antwerpen/2018/20829088,715000,3,237,2018,Antwerpen,House,Immeuble mixte,2,,,,Equipée,1,,,,,327
https://www.immoweb.be/fr/annonce/maison/a-vendre/dadizele/8890/20829087,184000,3,,8890,Dadizele,House,Maison,,,,,,,,,,,0
https://www.immoweb.be/fr/annonce/villa/a-vendre/ninove/9400/20215097,1245000,4,296,9400,Ninove,House,Villa,4,Bon,,,Equipée,,,,,,5484
https://www.immoweb.be/fr/annonce/maison/a-vendre/ravels/2380/20829081,248500,3,,2380,Ravels,House,Maison,,À rénover,,,Equipée,,,,,,671
https://www.immoweb.be/fr/annonce/maison/a-vendre/deurne/2100/20700042,249000,3,134,2100,Deurne,House,Maison,2,À rafraîchir,,,Semi-équipée,,6,,,,240
https://www.immoweb.be/fr/annonce/appartement/a-vendre/woluwe-saint-lambert/1200/20829076,420000,3,173,1200,Woluwe-saint-lambert,Apartment,Appartement,4,À rafraîchir,0,,Equipée,,,,,0,173
https://www.immoweb.be/fr/annonce/maison/a-vendre/rumst/2840/20829075,325000,4,,2840,Rumst,House,Maison,3,À rafraîchir,,,,,,,,,435
https://www.immoweb.be/fr/annonce/maison/a-vendre/overijse/3090/20796645,1550000,6,330,3090,Overijse,House,Maison,4,Excellent état,,,Equipée,,50,1,2558,,2888
https://www.immoweb.be/fr/annonce/appartement/a-vendre/schaerbeek/1030/20829073,495000,2,,1030,Schaerbeek,Apartment,Appartement,2,,,,,,,,,,0
https://www.immoweb.be/fr/annonce/maison/a-vendre/merelbeke/9820/20681926,470000,3,210,9820,Merelbeke,House,Maison,2,Excellent état,0,,Equipée,,16,1,117,,432
https://www.immoweb.be/fr/annonce/maison/a-vendre/vilvoorde/1800/20765358,330000,2,155,1800,Vilvoorde,House,Maison,2,À rafraîchir,0,,Semi-équipée,,,1,56,,286
https://www.immoweb.be/fr/annonce/maison/a-vendre/wolvertem/1861/20829066,545000,3,240,1861,Wolvertem,House,Maison,3,Bon,0,,Equipée,1,,,,,960
https://www.immoweb.be/fr/annonce/maison/a-vendre/wilrijk/2610/20829064,649000,4,420,2610,Wilrijk,House,Maison,2,À rénover,0,,Equipée,,,,,,709
https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-katelijne-waver/2860/20829063,375000,3,133,2860,Sint-katelijne-waver,House,Maison,,Bon,,,,1,,,,,708
https://www.immoweb.be/fr/annonce/maison/a-vendre/kontich/2550/20680465,235000,3,173,2550,Kontich,House,Maison,2,À rénover,0,,Equipée,,,1,187,,453
https://www.immoweb.be/fr/annonce/maison/a-vendre/wilrijk/2610/20829064,649000,4,420,2610,Wilrijk,House,Maison,2,À rénover,0,,Equipée,,,,,,709
https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-katelijne-waver/2860/20829063,375000,3,133,2860,Sint-katelijne-waver,House,Maison,,Bon,,,,1,,,,,708
https://www.immoweb.be/fr/annonce/maison/a-vendre/kontich/2550/20680465,235000,3,173,2550,Kontich,House,Maison,2,À rénover,0,,Equipée,,,1,187,,453
https://www.immoweb.be/fr/annonce/appartement/a-vendre/antwerpen-berchem/2600/20829062,219000,2,85,2600,Antwerpen berchem,Apartment,Appartement,4,Bon,1,,Equipée,1,,,,0,85
